Country,count
United States of America,18647
Germany,7328
India,5625
United Kingdom,5552
Canada,3507
France,2933
Poland,2435
Netherlands,2383
Australia,2078
Brazil,2042
Italy,1835
Spain,1834
Sweden,1641
Switzerland,1149
Russian Federation,1094
Czech Republic,1072
Austria,1033
Israel,921
Belgium,888
Turkey,881
Ukraine,873
Denmark,850
Romania,829
Portugal,749
Norway,732
Finland,726
New Zealand,672
China,657
Greece,631
Hungary,607
Mexico,605
Pakistan,596
Argentina,579
"Iran, Islamic Republic of...",577
South Africa,573
Indonesia,493
Bangladesh,490
Bulgaria,482
Colombia,465
Ireland,464
Nigeria,447
Serbia,417
Viet Nam,390
Japan,362
Philippines,354
Slovakia,352
Lithuania,317
Singapore,298
Egypt,296
Croatia,290
Slovenia,271
Malaysia,264
Chile,248
Kenya,244
Taiwan,239
Estonia,234
Sri Lanka,217
Thailand,216
Nepal,212
Hong Kong (S.A.R.),205
South Korea,204
United Arab Emirates,178
Latvia,174
Georgia,166
Morocco,145
Peru,141
Uruguay,133
Belarus,128
Armenia,114
Tunisia,107
"Venezuela, Bolivarian Republic of...",106
Saudi Arabia,104
Kazakhstan,91
Ecuador,90
Ghana,90
Bosnia and Herzegovina,87
Costa Rica,86
Ethiopia,86
Republic of Korea,86
Algeria,85
Cyprus,84
Luxembourg,72
Jordan,72
Dominican Republic,71
Lebanon,66
Afghanistan,64
Uzbekistan,64
Nomadic,61
Uganda,60
Albania,60
Guatemala,60
Iceland,57
Azerbaijan,53
The former Yugoslav Republic of Macedonia,51
Iraq,51
Republic of Moldova,50
Malta,46
Myanmar,42
Paraguay,42
Bolivia,42
Montenegro,38
Syrian Arab Republic,37
United Republic of Tanzania,36
El Salvador,34
Zimbabwe,34
Cuba,33
Cameroon,30
Nicaragua,30
Cambodia,30
Mauritius,28
Kosovo,27
Rwanda,27
Honduras,26
Zambia,26
Kyrgyzstan,25
Palestine,24
Panama,24
Jamaica,21
Mongolia,21
Malawi,21
Madagascar,20
Yemen,20
Bahrain,19
Trinidad and Tobago,19
Kuwait,18
Benin,17
Qatar,16
Andorra,16
Somalia,15
Côte d'Ivoire,14
Isle of Man,13
Senegal,13
Angola,13
Maldives,12
Swaziland,11
Oman,11
Libyan Arab Jamahiriya,10
Turkmenistan,10
Mozambique,9
Fiji,8
Sudan,8
Sierra Leone,8
Antigua and Barbuda,7
Botswana,6
Barbados,6
Togo,6
Mali,6
Mauritania,5
Belize,5
Tajikistan,5
Democratic Republic of the Congo,5
Niger,4
Burkina Faso,4
Haiti,4
Namibia,4
Lesotho,4
North Korea,4
Suriname,4
Palau,3
Liberia,3
Bhutan,3
Lao People's Democratic Republic,3
Guyana,3
Brunei Darussalam,3
Bahamas,2
Cape Verde,2
Monaco,2
Burundi,2
Saint Lucia,2
Guinea,2
Dominica,2
Democratic People's Republic of Korea,2
Timor-Leste,2
Gabon,2
Djibouti,2
Saint Vincent and the Grenadines,2
"Congo, Republic of the...",2
Grenada,1
Guinea-Bissau,1
Liechtenstein,1
Saint Kitts and Nevis,1
Marshall Islands,1
Samoa,1
Central African Republic,1
San Marino,1
