Country,Education Level,Years of Experience,Employment,Salary,Continent
United Kingdom,Master’s degree,4.0,Full-time Employment,32315.0,Europe
United Kingdom,Bachelor’s degree,2.0,Full-time Employment,40070.0,Europe
Spain,Less than a Bachelors,7.0,Full-time Employment,14268.0,Europe
Netherlands,Less than a Bachelors,20.0,Full-time Employment,38916.0,Europe
United Kingdom,Bachelor’s degree,23.0,Self-employed/Freelancer,108576.0,Europe
Germany,Post grad,20.0,Full-time Employment,91883.0,Europe
United Kingdom,Bachelor’s degree,2.0,Full-time Employment,38778.0,Europe
Belgium,Bachelor’s degree,14.0,Full-time Employment,63564.0,Europe
United Kingdom,Less than a Bachelors,3.0,Full-time Employment,77556.0,Europe
Italy,Bachelor’s degree,12.0,Full-time Employment,97288.0,Europe
France,Master’s degree,2.0,Full-time Employment,36753.0,Europe
France,Master’s degree,4.0,Full-time Employment,37834.0,Europe
United Kingdom,Post grad,28.0,Full-time Employment,74970.0,Europe
United Kingdom,Bachelor’s degree,6.0,Full-time Employment,90482.0,Europe
United Kingdom,Less than a Bachelors,13.0,Full-time Employment,94359.0,Europe
United Kingdom,Bachelor’s degree,11.0,Self-employed/Freelancer,124092.0,Europe
France,Bachelor’s degree,3.0,Self-employed/Freelancer,108100.0,Europe
France,Bachelor’s degree,10.0,Full-time Employment,57292.0,Europe
Greece,Post grad,15.0,Full-time Employment,21620.0,Europe
Germany,Post grad,3.0,Full-time Employment,46044.0,Europe
United Kingdom,Master’s degree,8.0,Full-time Employment,116333.0,Europe
Germany,Less than a Bachelors,6.0,Full-time Employment,61616.0,Europe
United Kingdom,Bachelor’s degree,5.0,Full-time Employment,109871.0,Europe
Spain,Less than a Bachelors,4.0,Self-employed/Freelancer,15564.0,Europe
Bulgaria,Less than a Bachelors,5.0,Full-time Employment,24864.0,Europe
United Kingdom,Master’s degree,10.0,Self-employed/Freelancer,210050.0,Europe
Germany,Less than a Bachelors,35.0,Self-employed/Freelancer,129718.0,Europe
United Kingdom,Less than a Bachelors,3.0,Full-time Employment,32315.0,Europe
Sweden,Bachelor’s degree,12.0,Self-employed/Freelancer,59320.0,Europe
Germany,Bachelor’s degree,6.0,Full-time Employment,54480.0,Europe
Switzerland,Master’s degree,6.0,Full-time Employment,121980.0,Europe
Netherlands,Bachelor’s degree,4.0,Full-time Employment,36324.0,Europe
Germany,Post grad,6.0,Full-time Employment,48644.0,Europe
Hungary,Less than a Bachelors,8.0,Full-time Employment,29628.0,Europe
Netherlands,Less than a Bachelors,3.0,Part-time Employment,41100.0,Europe
Germany,Bachelor’s degree,7.0,Full-time Employment,34591.0,Europe
Germany,Bachelor’s degree,7.0,Full-time Employment,59454.0,Europe
Slovenia,Less than a Bachelors,2.0,Self-employed/Freelancer,28536.0,Europe
France,Master’s degree,3.0,Full-time Employment,52968.0,Europe
Netherlands,Less than a Bachelors,14.0,Full-time Employment,129718.0,Europe
Romania,Bachelor’s degree,10.0,Full-time Employment,27240.0,Europe
Italy,Less than a Bachelors,35.0,Self-employed/Freelancer,21620.0,Europe
Germany,Bachelor’s degree,10.0,Full-time Employment,81074.0,Europe
France,Master’s degree,4.0,Full-time Employment,41077.0,Europe
France,Master’s degree,1.0,Full-time Employment,28152.0,Europe
France,Master’s degree,2.0,Full-time Employment,48644.0,Europe
Portugal,Master’s degree,20.0,Full-time Employment,58368.0,Europe
United Kingdom,Less than a Bachelors,3.0,Full-time Employment,44595.0,Europe
Portugal,Master’s degree,15.0,Full-time Employment,54049.0,Europe
Finland,Master’s degree,7.0,Full-time Employment,54049.0,Europe
