Country,Education Level,Years of Experience,Employment,Salary,Continent
Canada,Bachelor’s degree,10.0,Full-time Employment,71093.0,North America
Canada,Bachelor’s degree,10.0,Full-time Employment,31764.0,North America
Canada,Less than a Bachelors,7.0,Full-time Employment,103615.0,North America
Canada,Less than a Bachelors,2.0,Full-time Employment,37816.0,North America
Canada,Less than a Bachelors,25.0,Full-time Employment,71850.0,North America
Canada,Bachelor’s degree,4.0,Full-time Employment,75631.0,North America
Canada,Bachelor’s degree,9.0,Full-time Employment,79413.0,North America
Canada,Bachelor’s degree,3.0,Full-time Employment,37816.0,North America
Canada,Less than a Bachelors,4.0,Full-time Employment,64287.0,North America
Canada,Less than a Bachelors,12.0,Self-employed/Freelancer,100000.0,North America
Canada,Post grad,5.0,Full-time Employment,41597.0,North America
Canada,Bachelor’s degree,24.0,Self-employed/Freelancer,60505.0,North America
Canada,Post grad,18.0,Full-time Employment,94539.0,North America
Canada,Bachelor’s degree,4.0,Full-time Employment,87732.0,North America
Canada,Less than a Bachelors,2.0,Full-time Employment,113447.0,North America
Mexico,Less than a Bachelors,6.0,Full-time Employment,29088.0,North America
Canada,Master’s degree,6.0,Full-time Employment,60505.0,North America
Mexico,Bachelor’s degree,12.0,Full-time Employment,38784.0,North America
Canada,Bachelor’s degree,2.0,Full-time Employment,41597.0,North America
Canada,Bachelor’s degree,12.0,Full-time Employment,57480.0,North America
Canada,Bachelor’s degree,21.0,Full-time Employment,136136.0,North America
Canada,Bachelor’s degree,26.0,Full-time Employment,71850.0,North America
Canada,Master’s degree,2.0,Full-time Employment,55967.0,North America
Canada,Bachelor’s degree,1.0,Full-time Employment,55967.0,North America
Canada,Bachelor’s degree,0.5,Full-time Employment,68068.0,North America
Canada,Less than a Bachelors,2.0,Full-time Employment,52942.0,North America
Canada,Master’s degree,20.0,Full-time Employment,136136.0,North America
Canada,Bachelor’s degree,3.0,Full-time Employment,64287.0,North America
Canada,Bachelor’s degree,3.0,Full-time Employment,56723.0,North America
