Country,Education Level,Years of Experience,Employment,Salary,Continent
Brazil,Master’s degree,6.0,Full-time Employment,55893.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,17184.0,South America
Brazil,Less than a Bachelors,11.0,Full-time Employment,24744.0,South America
Peru,Bachelor’s degree,17.0,Full-time Employment,56760.0,South America
Brazil,Post grad,8.0,Self-employed/Freelancer,27492.0,South America
Argentina,Bachelor’s degree,14.0,Full-time Employment,14796.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,12372.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,32070.0,South America
Brazil,Bachelor’s degree,18.0,Full-time Employment,32070.0,South America
Ecuador,Post grad,10.0,Full-time Employment,48000.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,24744.0,South America
Argentina,Post grad,25.0,Full-time Employment,35028.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,15120.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,11820.0,South America
Brazil,Master’s degree,14.0,Full-time Employment,24744.0,South America
Peru,Less than a Bachelors,4.0,Full-time Employment,12420.0,South America
Brazil,Post grad,10.0,Full-time Employment,35506.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,27488.0,South America
Brazil,Less than a Bachelors,3.0,Self-employed/Freelancer,13740.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,27492.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,13740.0,South America
Argentina,Bachelor’s degree,6.0,Full-time Employment,22380.0,South America
Chile,Less than a Bachelors,3.0,Full-time Employment,18060.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,14292.0,South America
Brazil,Post grad,4.0,Full-time Employment,10992.0,South America
Brazil,Master’s degree,15.0,Full-time Employment,82464.0,South America
Argentina,Bachelor’s degree,21.0,Full-time Employment,26664.0,South America
Argentina,Bachelor’s degree,5.0,Full-time Employment,11676.0,South America
Brazil,Master’s degree,18.0,Self-employed/Freelancer,60480.0,South America
Brazil,Master’s degree,4.0,Full-time Employment,29321.0,South America
Brazil,Master’s degree,19.0,Full-time Employment,38484.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,32988.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,12372.0,South America
Argentina,Less than a Bachelors,4.0,Full-time Employment,19464.0,South America
Chile,Bachelor’s degree,10.0,Full-time Employment,30108.0,South America
Chile,Less than a Bachelors,23.0,Full-time Employment,100602.0,South America
Brazil,Bachelor’s degree,4.0,Self-employed/Freelancer,21996.0,South America
Brazil,Master’s degree,9.0,Self-employed/Freelancer,15120.0,South America
Brazil,Bachelor’s degree,16.0,Full-time Employment,43428.0,South America
Chile,Less than a Bachelors,9.0,Full-time Employment,105372.0,South America
Argentina,Post grad,14.0,Self-employed/Freelancer,70000.0,South America
Argentina,Less than a Bachelors,8.0,Full-time Employment,57600.0,South America
Argentina,Master’s degree,4.0,Full-time Employment,21408.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,11544.0,South America
Argentina,Bachelor’s degree,4.0,Full-time Employment,29196.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,23364.0,South America
Brazil,Less than a Bachelors,15.0,Full-time Employment,31608.0,South America
Brazil,Bachelor’s degree,20.0,Full-time Employment,22449.0,South America
Chile,Master’s degree,5.0,Full-time Employment,22584.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,48924.0,South America
Brazil,Master’s degree,6.0,Full-time Employment,21996.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,25284.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,13740.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,12372.0,South America
Brazil,Master’s degree,7.0,Full-time Employment,25656.0,South America
Brazil,Master’s degree,15.0,Full-time Employment,17180.0,South America
Argentina,Less than a Bachelors,6.0,Full-time Employment,19848.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,13740.0,South America
